BJD - 2454833, Corrected Flux
2061.305584441, 1.001689241,
2061.326016675, 1.001219999,
2061.346448809, 1.001763041,
2061.366880842, 1.001823994,
2061.387313074, 1.008424447,
2061.407745207, 1.001243869,
2061.428177438, 1.001806573,
2061.489473832, 0.999850171,
2061.509905862, 1.000374513,
2061.530337992, 0.999846833,
2061.550770221, 0.999650578,
2061.571202350, 1.000007109,
2061.591634378, 0.999494241,
2061.612066606, 1.000197283,
2061.632498734, 1.000262302,
2061.652930761, 1.000185274,
2061.673362988, 0.999474081,
2061.693795114, 1.000056261,
2061.714227240, 1.000340923,
2061.734659366, 1.000574178,
2061.755091491, 0.999830205,
2061.775523615, 0.999903894,
2061.795955740, 0.999523160,
2061.816387863, 0.999643045,
2061.836819987, 0.999570118,
2061.857252110, 0.999288259,
2061.877684132, 0.999814215,
2061.898116354, 0.999281191,
2061.918548476, 0.999553419,
2061.938980597, 0.999339787,
2061.959412718, 0.999355395,
2061.979844838, 0.999302518,
2062.000277059, 0.999255884,
2062.020709078, 0.999378887,
2062.041141197, 0.999309628,
2062.061573416, 0.999063483,
2062.082005434, 0.999119684,
2062.102437552, 0.998909853,
2062.122869770, 0.999066873,
2062.143301886, 0.998528241,
2062.163733903, 0.998949534,
2062.245462465, 0.998353166,
2062.265894580, 0.998683854,
2062.286326594, 0.998509177,
2062.327190921, 0.998386987,
2062.347623134, 0.997752560,
2062.368055146, 0.998664744,
2062.388487258, 0.998924845,
2062.408919469, 0.998108303,
2062.429351481, 0.998257956,
2062.449783591, 0.998435548,
2062.470215701, 0.998173413,
2062.490647811, 0.998120394,
2062.511079921, 0.998197901,
2062.531512030, 0.998584888,
2062.551944139, 0.998553855,
2062.572376247, 0.998449315,
2062.592808355, 0.998316255,
2062.613240462, 0.998754318,
2062.633672569, 0.998365031,
2062.654104775, 0.997643716,
2062.674536781, 0.997796838,
2062.694968987, 0.998232547,
2062.715401092, 0.998221300,
2062.735833097, 0.998365924,
2062.756265302, 0.997870923,
2062.776697405, 0.998526567,
2062.797129409, 0.998521308,
2062.817561612, 0.998529748,
2062.837993715, 0.998156971,
2062.858425717, 0.998262672,
2062.878857919, 0.998023511,
2062.899290021, 0.998308473,
2062.919722022, 0.998358850,
2062.940154222, 0.998040109,
2062.960586323, 0.997902013,
2062.981018423, 0.997790423,
2063.001450522, 0.997965675,
2063.021882621, 0.997622206,
2063.042314720, 0.998049326,
2063.062746818, 0.998446839,
2063.083178915, 0.997812474,
2063.103611113, 0.998131405,
2063.124043210, 0.997986997,
2063.144475206, 0.997493375,
2063.164907402, 0.997906657,
2063.185339498, 0.998109878,
2063.205771494, 0.997835477,
2063.226203688, 0.998098273,
2063.246635683, 0.997783165,
2063.267067777, 0.997571060,
2063.287499970, 0.998041250,
2063.328364057, 0.997718790,
2063.348796249, 0.997081025,
2063.369228241, 0.997579434,
2063.389660332, 0.997716417,
2063.410092523, 0.997814472,
2063.430524514, 0.997500430,
2063.450956605, 0.997287803,
2063.491820884, 0.997898893,
2063.512252973, 0.997368315,
2063.532685062, 0.998491179,
2063.553117150, 0.997773496,
2063.573549238, 0.997042209,
2063.593981325, 0.996666700,
2063.614413412, 0.997299717,
2063.634845599, 0.996382137,
2063.696141856, 0.997750323,
2063.716573841, 0.997611047,
2063.737005926, 0.997865655,
2063.757438110, 0.997696469,
2063.777870093, 0.998093269,
2063.798302177, 0.998201422,
2063.818734360, 0.997853643,
2063.839166342, 0.997301235,
2063.859598424, 0.996946438,
2063.880030606, 0.998093639,
2063.900462587, 0.998026923,
2063.920894768, 0.997010614,
2063.941326848, 0.997215674,
2063.961758829, 0.998079515,
2063.982191008, 0.998032995,
2064.023055066, 0.997942029,
2064.043487245, 0.997863980,
